Phone timestamp;RR-interval [ms]
2022-05-09T16:08:49.096;759
2022-05-09T16:08:49.855;725
2022-05-09T16:08:50.580;732
2022-05-09T16:08:51.312;743
2022-05-09T16:08:52.055;750
2022-05-09T16:08:52.805;750
2022-05-09T16:08:53.555;731
2022-05-09T16:08:54.286;740
2022-05-09T16:08:55.026;748
2022-05-09T16:08:55.774;751
2022-05-09T16:08:56.525;722
2022-05-09T16:08:57.247;731
2022-05-09T16:08:57.978;742
2022-05-09T16:08:58.720;753
2022-05-09T16:08:59.473;733
2022-05-09T16:09:00.206;739
2022-05-09T16:09:00.945;751
2022-05-09T16:09:01.696;761
2022-05-09T16:09:02.457;735
2022-05-09T16:09:03.192;733
2022-05-09T16:09:03.925;741
2022-05-09T16:09:04.666;757
2022-05-09T16:09:05.423;741
2022-05-09T16:09:06.164;728
2022-05-09T16:09:06.892;740
2022-05-09T16:09:07.632;746
2022-05-09T16:09:08.378;753
2022-05-09T16:09:09.131;717
2022-05-09T16:09:09.848;727
2022-05-09T16:09:10.575;734
2022-05-09T16:09:11.309;745
2022-05-09T16:09:12.054;728
2022-05-09T16:09:12.782;723
2022-05-09T16:09:13.505;733
2022-05-09T16:09:14.238;753
2022-05-09T16:09:14.991;765
2022-05-09T16:09:15.756;756
2022-05-09T16:09:16.512;724
2022-05-09T16:09:17.236;731
2022-05-09T16:09:17.967;734
2022-05-09T16:09:18.701;734
2022-05-09T16:09:19.435;710
2022-05-09T16:09:20.145;714
2022-05-09T16:09:20.859;729
2022-05-09T16:09:21.588;734
2022-05-09T16:09:22.322;742
2022-05-09T16:09:23.064;725
2022-05-09T16:09:23.789;739
2022-05-09T16:09:24.528;755
2022-05-09T16:09:25.283;772
2022-05-09T16:09:26.055;768
2022-05-09T16:09:26.823;729
2022-05-09T16:09:27.552;736
2022-05-09T16:09:28.288;750
2022-05-09T16:09:29.038;764
2022-05-09T16:09:29.802;758
2022-05-09T16:09:30.560;731
2022-05-09T16:09:31.291;765
2022-05-09T16:09:32.056;764
2022-05-09T16:09:32.820;782
2022-05-09T16:09:33.602;783
2022-05-09T16:09:34.385;755
2022-05-09T16:09:35.140;762
2022-05-09T16:09:35.902;768
2022-05-09T16:09:36.670;783
2022-05-09T16:09:37.453;767
2022-05-09T16:09:38.220;752
2022-05-09T16:09:38.972;766
2022-05-09T16:09:39.738;768
2022-05-09T16:09:40.506;762
2022-05-09T16:09:41.268;737
2022-05-09T16:09:42.005;742
2022-05-09T16:09:42.747;746
2022-05-09T16:09:43.493;752
2022-05-09T16:09:44.245;736
2022-05-09T16:09:44.981;730
2022-05-09T16:09:45.711;738
2022-05-09T16:09:46.449;752
2022-05-09T16:09:47.201;744
2022-05-09T16:09:47.945;706
2022-05-09T16:09:48.651;724
2022-05-09T16:09:49.375;731
2022-05-09T16:09:50.106;745
2022-05-09T16:09:50.851;725
2022-05-09T16:09:51.576;731
2022-05-09T16:09:52.307;732
2022-05-09T16:09:53.039;742
2022-05-09T16:09:53.781;738
2022-05-09T16:09:54.519;707
2022-05-09T16:09:55.226;727
2022-05-09T16:09:55.953;739
2022-05-09T16:09:56.692;749
2022-05-09T16:09:57.441;726
2022-05-09T16:09:58.167;715
2022-05-09T16:09:58.882;735
2022-05-09T16:09:59.617;751
2022-05-09T16:10:00.368;772
2022-05-09T16:10:01.140;739
2022-05-09T16:10:01.879;737
2022-05-09T16:10:02.616;759
2022-05-09T16:10:03.375;771
2022-05-09T16:10:04.146;773
2022-05-09T16:10:04.919;729
2022-05-09T16:10:05.648;734
2022-05-09T16:10:06.382;744
2022-05-09T16:10:07.126;760
2022-05-09T16:10:07.886;761
2022-05-09T16:10:08.647;729
2022-05-09T16:10:09.376;737
2022-05-09T16:10:10.113;750
2022-05-09T16:10:10.863;775
2022-05-09T16:10:11.638;777
2022-05-09T16:10:12.415;729
2022-05-09T16:10:13.144;735
2022-05-09T16:10:13.879;745
2022-05-09T16:10:14.624;757
2022-05-09T16:10:15.381;753
2022-05-09T16:10:16.134;733
2022-05-09T16:10:16.867;754
2022-05-09T16:10:17.621;767
2022-05-09T16:10:18.388;785
2022-05-09T16:10:19.173;788
2022-05-09T16:10:19.961;760
2022-05-09T16:10:20.721;763
2022-05-09T16:10:21.484;780
2022-05-09T16:10:22.264;806
2022-05-09T16:10:23.070;806
2022-05-09T16:10:23.876;777
2022-05-09T16:10:24.653;750
2022-05-09T16:10:25.403;761
2022-05-09T16:10:26.164;778
2022-05-09T16:10:26.942;808
2022-05-09T16:10:27.750;807
2022-05-09T16:10:28.557;752
2022-05-09T16:10:29.309;766
2022-05-09T16:10:30.075;776
2022-05-09T16:10:30.851;797
2022-05-09T16:10:31.648;813
2022-05-09T16:10:32.461;774
2022-05-09T16:10:33.235;764
2022-05-09T16:10:33.999;785
2022-05-09T16:10:34.784;806
2022-05-09T16:10:35.590;833
2022-05-09T16:10:36.423;818
2022-05-09T16:10:37.241;765
2022-05-09T16:10:38.006;771
2022-05-09T16:10:38.777;779
2022-05-09T16:10:39.556;777
2022-05-09T16:10:40.333;771
2022-05-09T16:10:41.104;736
2022-05-09T16:10:41.840;727
2022-05-09T16:10:42.567;732
2022-05-09T16:10:43.299;748
2022-05-09T16:10:44.047;769
2022-05-09T16:10:44.816;771
2022-05-09T16:10:45.587;735
2022-05-09T16:10:46.322;743
2022-05-09T16:10:47.065;766
2022-05-09T16:10:47.831;785
2022-05-09T16:10:48.616;811
2022-05-09T16:10:49.427;812
2022-05-09T16:10:50.239;802
2022-05-09T16:10:51.041;791
2022-05-09T16:10:51.832;762
2022-05-09T16:10:52.594;731
2022-05-09T16:10:53.325;746
2022-05-09T16:10:54.071;752
2022-05-09T16:10:54.823;772
2022-05-09T16:10:55.595;759
2022-05-09T16:10:56.354;716
2022-05-09T16:10:57.070;740
2022-05-09T16:10:57.810;749
2022-05-09T16:10:58.559;773
2022-05-09T16:10:59.332;784
2022-05-09T16:11:00.116;748
2022-05-09T16:11:00.864;732
2022-05-09T16:11:01.596;739
2022-05-09T16:11:02.335;748
2022-05-09T16:11:03.083;760
2022-05-09T16:11:03.843;746
2022-05-09T16:11:04.589;711
2022-05-09T16:11:05.300;727
2022-05-09T16:11:06.027;736
2022-05-09T16:11:06.763;758
2022-05-09T16:11:07.521;765
2022-05-09T16:11:08.286;758
2022-05-09T16:11:09.044;727
2022-05-09T16:11:09.771;755
2022-05-09T16:11:10.526;765
2022-05-09T16:11:11.291;782
2022-05-09T16:11:12.073;781
2022-05-09T16:11:12.854;770
2022-05-09T16:11:13.624;770
2022-05-09T16:11:14.394;774
2022-05-09T16:11:15.168;767
2022-05-09T16:11:15.935;729
2022-05-09T16:11:16.664;744
2022-05-09T16:11:17.408;768
2022-05-09T16:11:18.176;766
2022-05-09T16:11:18.942;707
2022-05-09T16:11:19.649;663
2022-05-09T16:11:20.312;667
2022-05-09T16:11:20.979;668
2022-05-09T16:11:21.647;680
2022-05-09T16:11:22.327;673
